Title,Company,Location,Time,Expire
Inxhinier Elektrik DurrësProgeen Construction,Progeen Construction,Durres,11-03-2025,edhe 24 ditë
Agjent/e Shitjesh në terrenduapune.com,duapune.com,Tirane,03-03-2025,edhe 16 ditë
Inxhinier Hidro-Mekanik në Zbatim DurrësProgeen Construction,Progeen Construction,Durres,11-03-2025,edhe 24 ditë
Inxhinier Ndërtimi Kostoist/Preventivues në DurrësProgeen Construction,Progeen Construction,Durres,10-03-2025,edhe 23 ditë
Arkitekt në Zbatim DurresProgeen Construction,Progeen Construction,Durres,10-03-2025,edhe 23 ditë
Manaxher Projekti në kantier ndërtimiProgeen Construction,Progeen Construction,Tirane,01-03-2025,edhe 14 ditë
Pergjegjes/e Magazine DurresHari Lena Group,Hari Lena Group,Durres,11-03-2025,edhe 24 ditë
Specialist ProkurimeshProgeen Construction,Progeen Construction,Tirane,01-03-2025,edhe 14 ditë
Consulente CommercialeConsulcesi Service sh.p.k,Consulcesi Service sh.p.k,Tirane,03-03-2025,edhe 16 ditë
Menaxher Shitjesh ne terrenBlue Filters Tirana,Blue Filters Tirana,Tirane,03-03-2025,edhe 16 ditë
Ndihmes Kuzhinier PalasePaleste,Paleste,Dhërmi,14-03-2025,edhe 27 ditë
Banakier Restoranti PalasePaleste,Paleste,Dhërmi,14-03-2025,edhe 27 ditë
MagazinierRea's sh.p.k,Rea's sh.p.k,Tirane,14-03-2025,edhe 27 ditë
Software DevelopersHawkfields,Hawkfields,Tirane,14-03-2025,edhe 27 ditë
Ndihmëse ekonomisteRea's sh.p.k,Rea's sh.p.k,Tirane,14-03-2025,edhe 27 ditë
Non Food SupervisorEMERALD Mall and Residence,EMERALD Mall and Residence,Tirane,13-03-2025,edhe 26 ditë
Finance ManagerBalfin DEVELOPMENT,Balfin DEVELOPMENT,Tirane,25-02-2025,edhe 10 ditë
Punonjese ne LavanderiECOTEAM SHPK,ECOTEAM SHPK,Tirane,14-03-2025,edhe 27 ditë
Elektricist/Ndihmes ElektricistAT ELEKTRIK,AT ELEKTRIK,Tirane,14-03-2025,edhe 27 ditë
Associate Project ManagerBalfin DEVELOPMENT,Balfin DEVELOPMENT,Tirane,25-02-2025,edhe 10 ditë
Inxhinier Ndërtimi - MbikëqyrësBalfin DEVELOPMENT,Balfin DEVELOPMENT,Tirane,25-02-2025,edhe 10 ditë
ElektricistAlbalight,Albalight,Tirane,14-03-2025,edhe 27 ditë
Agjent ShitjeshWine Plus,Wine Plus,Tirane,14-03-2025,edhe 27 ditë
"Specialist i Shërbimit të Klientit, Dega AstirKredo Finance",Kredo Finance,Tirane,14-03-2025,edhe 27 ditë
Recepsioniste ABA Business CenterGener 2 sh.p.k.,Gener 2 sh.p.k.,Tirane,14-03-2025,edhe 27 ditë
Supervizor RrjetiAbissnet Sh.A.,Abissnet Sh.A.,Tirane,14-03-2025,edhe 27 ditë
MarangozAgikons,Agikons,Tirane,14-03-2025,edhe 27 ditë
Punëtor Plastike / DuroaluminiAgikons,Agikons,Tirane,14-03-2025,edhe 27 ditë
Punëtor Ndërtimi LundërAgikons,Agikons,Tirane,14-03-2025,edhe 27 ditë
Specialist /Punëtor në NdërtimAgikons,Agikons,Tirane,14-03-2025,edhe 27 ditë
Perfaqësuese ShitjeshAbissnet Sh.A.,Abissnet Sh.A.,Tirane,14-03-2025,edhe 27 ditë
Mekanik/ Ndihmes MekanikMoto Skai,Moto Skai,Tirane,14-03-2025,edhe 27 ditë
Supervizor Shitje Ho Re CaEurolab Internacional Grup,Eurolab Internacional Grup,Tirane,14-03-2025,edhe 27 ditë
Menaxher Logjsitike (Importe)ALKOS GROUP,ALKOS GROUP,Tirane,14-03-2025,edhe 27 ditë
TapicierAgikons,Agikons,Tirane,14-03-2025,edhe 27 ditë
Përfaqësuese Shitjesh FierAbissnet Sh.A.,Abissnet Sh.A.,Fier,14-03-2025,edhe 27 ditë
Ndihmes SaldatorAgikons,Agikons,Tirane,14-03-2025,edhe 27 ditë
Operator Makinerie CNCAgikons,Agikons,Tirane,14-03-2025,edhe 27 ditë
Mobilier/Ndihmes MobilierMobileri Meus Home,Mobileri Meus Home,Tirane,14-03-2025,edhe 27 ditë
SaldatorAgikons,Agikons,Tirane,14-03-2025,edhe 27 ditë
